HouseHoldNumber,Year,Age,Education,Marriage,Work Type,Number of People in a Household,House Type,House Size,Living Type,Savings,Deposit,Living House Price,Nonliving House Price,Housing Credit Loan,Living House Credit Loan,Credit Loan,Income,Income 2,Transfer Income,Region,Income Level,Weight
842200391,2015,42,4,2,3,4,2,48,1,1101,0,15000,0,0,0,0,2860,0,0,A0402,A1902,2349.86382
843200311,2015,50,4,4,9,3,2,50,1,1340,0,14000,0,0,0,0,1690,0,0,A0402,A1902,2473.341313
844200351,2015,79,1,3,,1,1,66,1,20,0,7000,0,0,0,0,0,0,579,A0402,A1901,1623.292355
846200321,2015,38,4,2,3,5,2,84,1,3386,0,10000,8200,3680,3680,0,7000,0,0,A0402,A1904,1985.709784
846200341,2015,35,6,2,2,4,1,66,3,107,500,0,0,0,0,0,600,800,0,A0402,A1901,2039.91873
846200361,2015,42,6,2,1,4,2,59,1,1166,0,9000,0,4800,4800,0,2880,0,0,A0402,A1902,2551.011373
846200381,2015,37,4,4,9,2,1,50,4,1830,0,0,0,0,0,0,400,2400,0,A0402,A1902,2403.892331
846200391,2015,83,1,3,6,1,1,99,1,100,0,13000,10000,0,0,0,0,300,439,A0402,A1901,1447.940024
847200301,2015,76,2,2,6,2,1,66,1,62,0,5000,2400,0,0,0,0,150,316,A0402,A1901,1471.183751
847200311,2015,77,1,2,6,2,1,66,1,1575,0,10000,9000,0,0,0,0,300,100,A0402,A1901,1471.183751
847200321,2015,54,4,2,8,3,3,43,3,82,300,0,0,0,0,0,600,1800,0,A0402,A1902,2408.626145
847200361,2015,67,2,2,,2,2,66,1,2480,0,3400,0,0,0,0,0,0,877,A0402,A1901,1577.168142
847504301,2015,57,4,2,4,2,3,72,1,1565,0,8000,0,0,0,0,500,2400,0,A0402,A1902,1310.290427
847504311,2015,67,4,2,,4,1,83,1,680,0,4140,0,0,0,0,0,0,3600,A0402,A1903,2136.342883
847504321,2015,51,4,2,8,3,2,39,3,3402,1100,0,0,0,0,0,3600,1700,0,A0402,A1904,2012.173415
848200301,2015,56,5,2,2,4,2,60,1,756,0,10000,60000,9700,4700,0,6120,0,0,A0402,A1904,2430.211598
848200311,2015,40,4,2,8,5,1,100,1,13312,0,10000,22000,0,0,0,3600,6000,178,A0402,A1905,1347.402269
848200321,2015,39,6,2,3,3,2,56,1,3664,0,9000,0,2700,2700,0,6120,0,0,A0402,A1904,2360.25224
848503341,2015,41,6,2,2,4,2,135,1,7726,0,38000,750,8000,8000,0,7000,0,0,A0402,A1904,678.2110724
848504311,2015,58,2,4,6,2,1,99,1,550,0,5000,12000,0,0,0,0,1000,179,A0402,A1901,1743.489919
849200331,2015,33,4,2,8,6,2,83,2,3051,10000,0,0,0,0,0,4850,0,408,A0402,A1904,2167.13879
849200361,2015,41,4,2,9,4,2,84,1,50,0,12000,0,0,0,0,2400,0,0,A0402,A1902,1526.826571
849503341,2015,62,2,2,8,3,1,66,1,8836,0,2000,21000,0,0,0,0,3900,836,A0402,A1903,1966.511211
850300301,2015,83,6,2,,2,2,112,1,150,0,13000,0,0,0,0,0,0,1392,A0402,A1901,1403.286253
851201391,2015,59,3,2,6,3,1,83,1,4543,0,500,0,0,0,1000,0,2400,546,A0402,A1902,1218.084773
851504301,2015,59,2,4,7,1,2,102,1,494,0,7000,0,0,0,0,2400,0,0,A0402,A1902,1052.761526
851504311,2015,81,2,2,6,2,1,92,1,6000,0,5000,50000,0,0,0,0,1500,1280,A0402,A1902,1226.559747
851504321,2015,44,4,2,7,4,2,50,1,2117,0,7300,700,3300,3300,0,3840,0,0,A0402,A1903,1524.506509
852200301,2015,76,4,3,,1,1,83,1,3680,0,10000,0,0,0,0,0,0,679,A0402,A1901,1289.144801
852200341,2015,55,6,2,2,4,2,85,1,9248,0,16000,0,7800,7800,4000,8246,0,0,A0402,A1905,1588.605652
852200351,2015,46,6,2,2,4,2,85,1,6376,0,17000,0,5000,5000,0,4000,0,0,A0402,A1903,1503.182272
852200361,2015,60,1,3,,1,2,85,1,10860,0,30000,30000,5000,0,0,0,0,2300,A0402,A1904,1646.559733
852200381,2015,54,4,2,6,4,1,115,1,8428,0,18000,7400,0,0,4000,400,5000,27,A0402,A1904,1495.455892
852200391,2015,70,2,2,,2,1,83,2,1140,200,0,0,0,0,0,0,0,1186,A0402,A1901,1536.005727
852201311,2015,80,1,3,,1,1,83,1,300,0,1700,0,0,0,0,0,0,967,A0402,A1901,1114.031034
852201331,2015,79,1,2,,2,1,99,1,540,0,1500,8000,0,0,0,0,0,372,A0402,A1901,1119.903696
852502281,2015,79,3,3,,1,2,76,1,100,0,7000,0,0,0,0,0,0,778,A0402,A1901,966.5973774
852502291,2015,89,2,3,,1,1,80,1,5025,0,15000,8000,0,0,0,0,0,146,A0402,A1901,736.451792
852504351,2015,79,1,3,,1,1,66,1,20,0,500,1200,0,0,0,0,0,252,A0402,A1901,1037.865236
