HouseHoldNumber,Year,Age,Education,Marriage,Work Type,Number of People in a Household,House Type,House Size,Living Type,Savings,Deposit,Living House Price,Nonliving House Price,Housing Credit Loan,Living House Credit Loan,Credit Loan,Income,Income 2,Transfer Income,Region,Income Level,Weight
10200111,2015,48,4,2,5,4,3,83,2,12340,18000,0,8000,12000,0,0,3500,5000,0,A0401,A1905,3036.481718
10200121,2015,44,6,1,2,4,1,149,1,2726,0,100000,0,0,0,0,3980,0,216,A0401,A1903,3583.620562
10300111,2015,38,5,2,8,3,2,83,1,2366,0,30000,0,15000,15000,0,7700,0,0,A0401,A1905,2805.691261
10300341,2015,40,6,2,3,4,2,101,1,13130,0,41000,20000,20000,20000,0,11600,0,0,A0401,A1905,1572.210891
10300351,2015,35,6,2,2,2,2,79,2,2074,10000,0,0,0,0,0,3800,0,0,A0401,A1903,3138.004687
10400131,2015,33,7,2,2,3,2,83,2,3300,25000,0,0,0,0,0,5500,0,0,A0401,A1904,2314.135805
10400151,2015,36,6,2,2,2,2,167,2,1517,28000,0,0,0,0,0,4500,0,0,A0401,A1903,1990.156198
10400171,2015,31,4,2,7,3,3,59,2,5434,15000,0,0,0,0,0,4920,0,0,A0401,A1904,2567.65677
10400311,2015,32,6,2,3,2,2,115,1,3800,0,32000,20000,0,0,0,9000,0,0,A0401,A1905,723.5503615
10400331,2015,31,6,2,2,2,2,59,2,5878,13000,0,0,0,0,0,6040,0,0,A0401,A1904,2340.462782
10500151,2015,60,3,3,2,2,3,76,1,2260,0,23000,20000,0,0,0,720,0,216,A0401,A1901,2588.227486
10500161,2015,80,6,2,,2,1,58,1,845,0,18000,0,0,0,0,0,0,490,A0401,A1901,2588.227486
10500311,2015,41,4,2,,4,1,52,4,20,0,0,0,0,0,0,600,0,500,A0401,A1901,4116.444738
10501101,2015,21,6,1,2,1,1,33,3,200,2000,0,0,0,0,0,2280,0,0,A0401,A1902,1402.4034
10501121,2015,28,6,2,2,2,3,43,3,365,3000,0,0,0,0,1750,600,2040,0,A0401,A1902,2097.028498
10501131,2015,31,7,2,2,3,3,79,2,1468,20000,0,0,0,0,0,4600,0,0,A0401,A1903,2618.19056
10501151,2015,38,5,1,3,1,3,36,2,2020,12000,0,0,0,0,3316,10000,0,0,A0401,A1905,3634.109703
10501201,2015,62,6,2,,3,1,66,2,400,1000,0,0,0,0,803,3600,2400,0,A0402,A1904,1994.675626
10501241,2015,61,4,2,9,3,1,86,1,2261,0,4000,0,0,0,0,1080,0,1164,A0402,A1902,1994.675626
10501261,2015,36,6,1,3,1,2,59,1,4250,0,14000,0,0,0,0,2700,0,0,A0402,A1902,1785.291728
10501271,2015,59,4,2,4,2,2,84,1,6900,0,22000,4000,0,0,0,0,8000,0,A0402,A1905,2109.876297
10501281,2015,62,4,2,9,4,1,66,2,480,5000,0,0,0,0,0,3200,0,600,A0402,A1903,2166.93964
10501291,2015,58,4,2,3,4,2,51,1,7390,0,11500,10000,1800,1800,0,8000,3600,0,A0402,A1905,2166.93964
10503301,2015,44,6,2,3,4,3,99,1,9930,0,15000,0,0,0,0,5000,0,0,A0401,A1904,2921.312816
10503311,2015,33,6,1,7,1,3,25,3,1940,500,0,0,0,0,0,2760,0,0,A0401,A1902,2017.338507
10503331,2015,45,6,1,9,2,2,76,3,100,1000,0,0,0,0,0,600,0,486,A0401,A1901,3044.317647
10503341,2015,47,6,2,3,4,3,66,2,2549,9000,0,0,0,0,0,5728,0,0,A0401,A1904,2921.312816
10503351,2015,40,4,2,8,5,3,54,2,268,5000,0,0,0,0,0,2800,0,286,A0401,A1903,3280.097792
10503381,2015,39,4,2,8,5,3,26,3,30,300,0,0,0,0,0,3560,0,0,A0401,A1903,3698.842271
10503391,2015,66,6,2,2,2,2,168,1,11800,0,30000,70000,25000,25000,0,4000,0,1620,A0401,A1904,953.8843767
11201101,2015,46,6,2,3,5,2,114,1,11755,0,45000,100000,4000,4000,300,1900,1900,0,A0401,A1904,3454.691627
11201121,2015,48,5,2,9,5,2,84,1,301,0,40000,0,18000,18000,0,0,6000,179,A0401,A1904,3459.09319
11201161,2015,40,5,1,5,3,3,43,3,818,500,0,0,0,0,0,0,1800,366,A0401,A1902,2634.81798
11201181,2015,61,4,2,4,4,1,83,2,16504,9000,0,14000,4000,0,0,4700,4500,0,A0401,A1905,4040.462233
11201191,2015,24,6,1,3,1,1,20,3,180,500,0,0,0,0,0,600,0,0,A0401,A1901,3189.341586
11202151,2015,49,7,2,5,4,2,59,1,15878,0,45000,0,7000,7000,0,0,4000,0,A0401,A1903,3551.430356
11204121,2015,64,2,3,,1,2,40,3,400,700,0,0,0,0,0,0,0,840,A0401,A1901,2347.66356
11204131,2015,54,6,2,9,4,2,40,3,5350,1000,0,7000,2300,0,0,5544,2000,0,A0401,A1905,2862.71882
11204171,2015,55,7,2,2,5,2,160,1,48606,0,195000,80000,0,0,0,9500,0,0,A0401,A1905,1064.816255
11500121,2015,45,6,1,2,1,2,109,1,6860,0,60000,0,0,0,0,7000,0,0,A0401,A1904,2090.076762
11500141,2015,40,6,2,3,5,2,59,3,375,3500,0,0,0,0,0,8000,0,230,A0401,A1905,3398.366513
11500151,2015,70,4,2,9,3,2,80,1,810,0,35000,0,0,0,0,1440,0,480,A0401,A1902,2786.037456
11500161,2015,62,4,2,,3,2,72,1,805,0,35000,10000,0,0,0,3840,0,3720,A0401,A1905,2786.037456
11500191,2015,65,3,1,,1,2,61,1,40,0,25000,0,0,0,0,0,0,120,A0401,A1901,2090.076762
11501261,2015,30,4,1,3,2,3,115,1,2397,0,15000,0,0,0,2000,4960,0,0,A0402,A1904,1768.460277
11501281,2015,48,6,2,1,6,2,155,1,3134,0,47000,43000,25000,25000,0,13000,0,286,A0402,A1905,1913.640082
11501291,2015,72,4,2,,2,2,72,1,1804,0,16000,50000,16000,0,0,0,0,840,A0402,A1902,2109.876297
11503301,2015,41,7,2,2,4,2,60,2,5206,13500,0,33000,0,0,0,6000,0,600,A0401,A1904,3730.280829
12200131,2015,75,6,3,,1,2,165,1,11100,0,185000,20600,0,0,0,0,0,3800,A0401,A1903,957.3150481
12201111,2015,54,4,2,7,3,3,55,1,4864,0,19000,300,0,0,0,1800,500,336,A0401,A1902,2926.489749
12201121,2015,65,4,2,3,4,2,85,1,19900,0,30000,23000,10000,10000,0,3000,4800,504,A0401,A1905,3442.513646
12201141,2015,43,4,2,3,5,3,58,1,5530,0,21000,0,0,0,0,2600,2400,0,A0401,A1904,2963.737116
12201151,2015,42,6,2,2,4,2,111,2,10280,43000,0,25000,0,0,0,5000,7000,0,A0401,A1905,3246.907873
12201161,2015,38,7,2,3,4,2,85,1,25723,0,50000,0,19000,19000,0,9800,0,0,A0401,A1905,3027.712996
12202191,2015,49,6,2,3,5,2,174,1,5625,0,110000,18000,30000,30000,2000,7000,0,0,A0401,A1904,3391.336944
12203161,2015,33,7,2,3,3,2,59,2,8623,25000,0,0,0,0,0,6500,0,200,A0401,A1904,3298.77604
12203171,2015,43,7,1,3,1,2,60,2,14190,22000,0,0,0,0,0,0,5000,0,A0401,A1904,3371.975926
12203191,2015,41,4,2,5,4,3,83,1,910,0,27000,3000,8500,8500,0,0,4000,0,A0401,A1903,2689.47196
12204121,2015,48,4,2,9,4,3,50,2,420,11000,0,0,0,0,0,0,2000,0,A0401,A1902,2539.049298
12204151,2015,52,6,2,5,3,2,42,3,6370,1000,0,0,16000,0,1000,0,3600,0,A0401,A1903,2814.502194
12500161,2015,40,6,2,2,3,2,84,2,67340,50000,0,0,0,0,0,16500,0,0,A0401,A1905,2786.037456
12500181,2015,56,2,4,9,1,1,23,3,300,200,0,0,0,0,0,3600,0,0,A0401,A1903,2190.053225
12500191,2015,43,5,1,2,1,3,29,3,10430,3000,0,0,0,0,0,7200,0,0,A0401,A1905,2190.053225
12501201,2015,60,2,2,8,3,1,162,1,13350,0,29400,0,0,0,0,0,1200,0,A0402,A1901,1994.675626
12501211,2015,36,4,1,,2,1,209,1,3310,0,24000,0,0,0,0,0,0,216,A0402,A1901,1768.460277
13201131,2015,48,3,4,,1,1,22,3,33,200,0,0,0,0,0,0,0,468,A0401,A1901,2957.274579
13201141,2015,56,4,2,3,5,3,59,3,2943,1000,0,8000,340,0,0,4300,0,0,A0401,A1903,3376.900112
13201151,2015,54,4,4,5,2,3,55,1,8463,0,12000,0,3500,3500,0,0,2160,0,A0401,A1902,3238.596875
13201171,2015,43,4,2,5,4,1,33,2,1684,4400,0,0,0,0,0,2600,0,0,A0401,A1902,3815.326466
13201181,2015,44,4,2,7,3,1,49,3,964,1000,0,0,0,0,500,2500,0,0,A0401,A1902,3157.494428
13203111,2015,55,6,3,3,2,1,33,3,290,500,0,0,0,0,0,3120,0,0,A0401,A1903,2654.144786
13203121,2015,36,7,1,2,1,3,24,3,1476,1500,0,0,0,0,1000,3500,0,0,A0401,A1903,3205.096447
13203131,2015,58,4,4,9,2,1,49,3,6,900,0,0,0,0,0,480,0,450,A0401,A1901,2666.107325
13203141,2015,41,5,1,9,2,1,43,2,960,2000,0,0,0,0,0,1440,0,179,A0401,A1902,1028.447492
13203191,2015,40,5,2,3,4,3,37,2,4990,11000,0,0,0,0,0,3800,0,0,A0401,A1903,2698.33657
13203391,2015,59,4,1,,3,1,99,2,900,11500,0,0,0,0,0,0,0,774,A0401,A1901,3913.49407
13500121,2015,50,6,4,2,2,2,59,1,39723,0,36000,0,0,0,0,0,1200,0,A0401,A1902,2470.074083
13501271,2015,58,4,2,2,4,2,84,1,920,0,28000,0,0,0,0,1560,2400,0,A0402,A1903,2585.285554
13501281,2015,48,7,2,2,5,2,141,1,78200,0,50000,0,29261,29261,0,0,105000,0,A0402,A1905,1913.640082
13503311,2015,46,4,1,7,1,3,63,3,100,500,0,0,0,0,0,1200,0,0,A0401,A1901,2274.876672
13503341,2015,49,4,2,7,5,2,168,3,5174,3000,0,0,0,0,2400,11186,0,0,A0401,A1905,1312.369039
14201111,2015,43,4,4,4,3,2,60,3,7908,3000,0,29700,10000,0,1000,5500,0,0,A0401,A1904,1777.494834
14201141,2015,69,3,2,9,2,3,33,1,140,0,7000,0,0,0,0,0,0,406,A0401,A1901,2146.553638
14201181,2015,54,4,2,7,5,1,66,3,657,5500,0,0,0,0,0,2640,2000,0,A0401,A1903,3280.493453
14201191,2015,68,4,2,8,3,1,150,1,15312,0,38000,0,0,0,3100,4000,3960,650,A0401,A1905,3559.320717
14202181,2015,55,6,2,1,3,2,85,1,14900,0,38000,0,10000,10000,4000,15014,0,0,A0401,A1905,3628.705102
14203141,2015,48,6,2,2,3,2,118,2,150380,42000,0,140000,0,0,3000,30000,0,0,A0401,A1905,2806.317337
14203151,2015,50,5,2,3,4,2,60,1,8600,0,35000,0,3000,3000,5000,6000,0,0,A0401,A1904,3752.535397
14203171,2015,54,6,2,8,5,3,66,2,8976,6500,0,18800,850,0,2000,900,2076,0,A0401,A1902,4174.895072
14203191,2015,78,6,2,5,2,2,149,2,10700,70000,0,300000,62000,0,0,0,10000,2400,A0401,A1905,957.3150481
14204131,2015,47,6,2,7,4,3,60,3,340,3000,0,0,0,0,0,1320,1800,0,A0401,A1903,3158.678995
14204141,2015,64,4,2,,4,3,73,1,7969,0,250000,0,36000,36000,0,6500,0,372,A0401,A1904,2872.112399
14204171,2015,47,6,2,3,4,2,71,2,6661,35500,0,0,0,0,12000,8600,0,0,A0401,A1905,3471.805263
14500191,2015,47,5,2,4,3,2,86,2,14939,26000,0,28000,0,0,0,0,4200,0,A0401,A1904,2786.037456
14503351,2015,51,6,2,3,4,2,140,1,700,0,30000,0,14000,14000,0,5000,0,0,A0401,A1904,1168.819132
15201101,2015,79,6,2,,2,3,50,1,110,0,12000,0,1000,1000,0,0,0,286,A0401,A1901,1143.937022
15201111,2015,83,4,2,,2,1,38,1,650,0,30000,0,0,0,0,0,0,712,A0401,A1901,2886.265959
15201121,2015,46,4,2,,5,2,147,2,17002,27000,0,34000,0,0,0,2640,0,0,A0401,A1902,963.8571263
15202111,2015,52,6,1,5,1,2,109,3,3808,6000,0,0,0,0,0,0,3200,0,A0401,A1903,3268.742916
15202121,2015,34,6,2,5,2,3,44,3,12200,2000,0,0,0,0,0,2600,0,0,A0401,A1902,3231.858629
15202131,2015,76,3,2,,2,3,79,3,2,1000,0,0,0,0,0,0,0,644,A0401,A1901,2050.2501
15202141,2015,66,4,2,4,2,3,64,2,3002,11000,0,10000,0,0,0,1800,1800,100,A0401,A1903,2472.98902
15202151,2015,63,6,2,,3,2,145,1,34900,0,60000,0,0,0,0,2000,0,1500,A0401,A1903,957.3150481
15202351,2015,59,4,1,5,1,3,54,1,900,0,12000,0,2000,2000,0,2200,0,0,A0401,A1902,3206.767901
15202361,2015,43,5,2,7,4,2,89,1,2830,0,26000,0,6000,6000,500,4636,0,0,A0401,A1903,5222.503279
15203191,2015,63,7,2,,4,2,136,2,8419,60000,0,100000,0,0,0,3500,0,3482,A0401,A1904,957.3150481
15203391,2015,46,6,2,1,4,2,85,1,16992,0,22800,10000,0,0,0,5500,0,0,A0401,A1904,3717.742826
15204181,2015,70,6,2,3,3,2,49,3,2850,3009,0,5000,0,0,200,1500,2400,960,A0401,A1904,1373.94464
15204191,2015,67,3,3,9,2,2,84,2,18380,29000,0,80000,0,0,33000,984,2160,0,A0401,A1903,2720.703806
15500131,2015,42,6,2,3,3,3,83,1,3380,0,35000,23000,0,0,0,8000,0,0,A0401,A1905,2919.30476
15500141,2015,40,4,1,1,1,1,34,3,7086,2000,0,32000,0,0,0,0,5000,0,A0401,A1904,2190.053225
15503361,2015,53,4,2,8,4,2,60,2,2771,7000,0,0,0,0,0,4000,0,0,A0401,A1903,3788.628992
15503371,2015,61,4,4,8,1,2,36,2,7200,1080,0,0,0,0,0,0,2000,240,A0401,A1902,2616.271563
15503391,2015,39,4,2,4,2,2,60,1,7861,0,17000,7000,5300,5300,0,0,2000,0,A0401,A1902,2017.107441
16200331,2015,52,6,2,2,4,2,158,2,51130,30000,0,3000,0,0,0,8500,0,0,A0401,A1905,3706.902773
16200341,2015,44,5,2,2,4,2,105,2,1146,37000,0,0,0,0,0,7500,0,0,A0401,A1905,3660.418819
16200381,2015,69,6,2,,2,2,155,1,3280,0,65000,0,0,0,0,0,0,3816,A0401,A1903,1101.681093
16203311,2015,34,5,2,A,2,2,60,2,14530,13000,0,0,0,0,0,6200,0,0,A0401,A1904,3346.867354
16203351,2015,49,3,2,8,5,2,112,1,4363,0,23000,0,11700,11700,0,4000,2500,0,A0401,A1904,5504.73109
16204111,2015,44,6,2,2,4,2,60,2,5724,24000,0,0,0,0,250,8100,0,0,A0401,A1905,3619.691902
16204121,2015,66,5,2,,2,2,60,1,8720,0,42000,0,0,0,0,0,0,3360,A0401,A1903,2806.075788
16204131,2015,45,6,2,3,4,2,145,2,13152,46000,0,120000,0,0,0,10000,0,0,A0401,A1905,3775.228086
16204141,2015,78,1,3,,1,3,26,3,5,500,0,0,0,0,0,0,0,734,A0401,A1901,2140.791837
16204161,2015,37,6,2,2,4,3,30,2,4800,7000,0,0,0,0,0,4800,0,0,A0401,A1904,2769.351533
16204171,2015,75,4,2,,2,3,79,1,157,0,20000,0,5440,5440,0,0,0,1136,A0401,A1901,2287.874045
16204191,2015,41,6,1,2,1,1,48,2,2160,8000,0,0,0,0,0,0,3000,1440,A0401,A1903,2912.357172
16500141,2015,30,5,1,2,1,1,14,3,30,1000,0,0,0,0,0,2160,0,0,A0401,A1902,2190.053225
16500151,2015,43,6,2,3,4,3,58,2,12716,15000,0,24000,0,0,0,4950,0,0,A0401,A1904,3171.421567
16500161,2015,57,3,2,4,2,1,59,3,6,1000,0,0,0,0,180,2040,0,564,A0401,A1902,2588.227486
16500181,2015,68,4,2,,3,1,92,1,5310,0,50000,0,3000,3000,0,2160,0,3480,A0401,A1904,2919.30476
16500191,2015,44,4,2,5,4,1,85,2,4125,7000,0,0,0,0,0,4500,1800,0,A0401,A1904,3171.421567
16503301,2015,28,5,2,8,2,2,84,2,1095,8500,0,0,0,0,4500,4000,0,360,A0401,A1903,1821.55717
17200341,2015,45,4,2,8,4,3,60,2,9217,19000,0,0,0,0,0,1200,2000,115,A0401,A1903,3074.876673
17200361,2015,43,6,2,1,5,2,134,2,2604,20000,0,0,0,0,0,10800,0,0,A0401,A1905,1225.393624
17203121,2015,50,6,2,1,3,2,108,2,10830,40000,0,70000,0,0,4600,10000,0,0,A0401,A1905,3786.41596
17203131,2015,38,7,2,1,3,2,109,2,11000,30000,0,15000,0,0,0,14000,0,0,A0401,A1905,3124.179188
17203141,2015,77,6,2,,2,2,109,2,500,20000,0,120000,0,0,0,200,0,660,A0401,A1902,2596.028304
17204121,2015,40,7,2,3,5,2,76,2,12564,20000,0,45000,0,0,0,10647,0,0,A0401,A1905,2666.6685
17500111,2015,78,4,3,,1,2,85,1,1150,0,100000,0,0,0,0,0,0,1170,A0401,A1901,2090.076762
17500121,2015,44,6,2,3,2,2,85,1,18280,0,100000,0,0,0,0,5000,0,0,A0401,A1904,2470.074083
17500131,2015,44,4,4,3,3,2,46,3,637,2800,0,0,0,0,400,3360,0,0,A0401,A1903,2786.037456
17500141,2015,30,6,1,2,4,2,60,2,21470,11000,0,0,0,0,0,2000,5500,174,A0401,A1905,3026.645056
17500161,2015,71,2,3,,1,2,85,1,110,0,40000,0,0,0,0,0,0,755,A0401,A1901,2090.076762
17500181,2015,53,4,2,8,4,3,62,1,1010,0,26500,0,0,0,0,2339,1800,0,A0401,A1903,3026.645056
18203311,2015,48,4,2,5,5,2,106,1,10179,0,30000,20000,0,0,0,0,3500,0,A0401,A1904,3548.724149
18203331,2015,52,6,2,2,4,2,125,1,10775,0,25000,0,0,0,0,7600,0,0,A0401,A1905,3688.688904
18203341,2015,34,6,2,1,4,3,99,2,1512,8000,0,0,0,0,0,2500,0,210,A0401,A1902,4165.542448
18203361,2015,43,4,2,7,4,3,105,1,3040,0,15000,0,6000,6000,0,3000,0,0,A0401,A1902,3819.837853
18500151,2015,58,4,3,2,2,3,23,3,3964,5000,0,0,0,0,950,5400,0,3000,A0401,A1905,2588.227486
18500161,2015,28,4,2,2,2,3,47,3,428,1000,0,0,0,0,200,7200,0,0,A0401,A1905,2588.227486
18500181,2015,50,4,4,9,2,1,66,2,340,2000,0,0,0,0,0,1600,0,0,A0401,A1902,2588.227486
18500211,2015,54,3,3,8,3,1,50,2,7555,500,0,0,0,0,0,4200,1600,0,A0402,A1904,1994.675626
18500221,2015,76,1,3,,2,2,31,3,2,250,0,0,0,0,300,0,0,391,A0402,A1901,2109.876297
18500231,2015,59,3,2,7,4,1,112,1,1700,0,11000,0,0,0,0,3300,3000,0,A0402,A1904,2166.93964
18500241,2015,31,6,2,1,3,1,145,1,15850,0,20000,100000,6000,6000,0,0,10000,0,A0402,A1905,1994.675626
19202151,2015,44,4,4,7,1,1,20,3,1180,100,0,0,0,0,0,2400,0,0,A0401,A1902,2900.54371
19500291,2015,48,4,2,8,4,2,84,1,2980,0,13000,0,3400,3400,0,6700,0,0,A0402,A1904,2585.285554
19502331,2015,70,3,4,9,2,2,66,3,3159,5730,0,0,0,0,0,2220,0,179,A0401,A1902,3044.317647
19502351,2015,56,3,1,,1,1,49,2,120,2000,0,0,0,0,0,0,0,576,A0401,A1901,2017.338507
19502361,2015,76,2,2,9,2,1,36,2,310,2000,0,0,0,0,0,200,0,286,A0401,A1901,2384.111342
19502371,2015,48,4,2,5,4,1,50,3,909,200,0,0,0,0,0,4200,0,0,A0401,A1903,2921.312816
19502381,2015,47,3,2,5,4,3,59,1,4094,0,10000,0,6000,6000,0,2160,2000,0,A0401,A1903,2921.312816
20200331,2015,43,6,2,3,3,2,86,1,7378,0,20000,0,0,0,1500,8100,0,0,A0402,A1905,2333.871758
20200341,2015,49,5,2,7,6,1,99,1,6750,0,25000,0,17000,17000,2000,0,6000,179,A0402,A1904,1072.363233
20200351,2015,45,4,3,4,4,1,83,1,2954,0,8500,0,0,0,0,1440,0,504,A0402,A1902,1769.070227
20200381,2015,61,6,2,4,4,1,109,1,9150,0,23000,0,0,0,0,1600,3600,3287,A0402,A1905,449.4964666
20201301,2015,42,6,2,3,4,3,106,1,5242,0,12000,0,1000,1000,0,4800,0,0,A0402,A1904,1567.409161
20201311,2015,35,5,2,4,3,2,109,1,6968,0,10000,50000,45000,0,8400,0,25000,0,A0402,A1905,1571.668407
20201331,2015,59,2,2,7,3,1,125,1,7408,0,1500,0,0,0,0,6520,0,0,A0402,A1904,1415.733831
20400211,2015,36,5,2,5,3,3,60,2,2893,8000,0,0,0,0,0,3000,0,0,A0402,A1902,940.9668851
21200311,2015,32,4,2,1,4,2,46,3,486,2800,0,0,0,0,0,4200,0,502,A0402,A1903,1408.175619
21200331,2015,64,5,3,8,1,2,50,2,1300,2100,0,0,0,0,8500,0,4500,0,A0402,A1903,1707.458553
21200341,2015,49,4,2,4,4,2,85,1,11540,0,12000,0,0,0,0,3060,4500,0,A0402,A1905,1557.731587
21200351,2015,74,5,2,,2,2,105,1,12168,0,12500,22000,0,0,0,0,600,928,A0402,A1902,952.2757916
21200371,2015,43,4,4,,3,1,43,3,2,200,0,0,0,0,0,600,0,395,A0402,A1901,1344.781888
21201301,2015,40,5,2,A,5,2,85,2,565,248,0,0,0,0,0,6900,0,264,A0402,A1904,2325.085267
21201311,2015,53,5,2,2,4,1,86,1,1475,0,14000,0,0,0,0,0,4300,0,A0402,A1903,1847.7612
21201361,2015,60,4,4,6,1,1,33,1,763,0,3750,0,0,0,0,0,1500,500,A0402,A1902,1472.883126
22200301,2015,62,7,2,,2,2,169,1,57530,0,22000,0,0,0,0,0,0,7800,A0402,A1905,845.5511653
22501251,2015,49,6,2,5,5,1,106,1,4685,0,10000,2000,0,0,1500,4200,0,0,A0402,A1903,1710.681812
22501261,2015,65,2,4,8,1,1,132,1,520,0,13000,0,0,0,0,0,600,372,A0402,A1901,1052.110204
22501271,2015,67,3,2,,2,1,158,1,1500,0,15000,0,0,0,0,600,0,519,A0402,A1901,1243.394618
22501291,2015,42,5,2,5,4,3,84,2,11755,6000,0,0,0,0,5000,0,5600,0,A0402,A1904,1523.563299
23501201,2015,70,4,2,,5,1,83,1,6630,0,10000,0,0,0,0,2160,0,1000,A0402,A1903,1710.681812
23501221,2015,76,2,3,,1,1,83,1,5,0,10000,0,0,0,0,0,0,539,A0402,A1901,1052.110204
23501241,2015,58,4,2,5,4,1,53,3,28292,200,0,0,0,0,2500,168,10000,0,A0402,A1905,1523.563299
23503361,2015,73,4,2,,2,3,62,1,435,0,7000,6000,0,0,0,0,0,670,A0402,A1901,962.1273895
23503371,2015,60,2,2,4,2,2,66,3,1075,2000,0,0,0,0,0,0,360,840,A0402,A1901,1117.544013
23503391,2015,72,1,3,6,2,1,66,1,156,0,6000,0,0,0,0,0,250,286,A0402,A1901,1145.144821
24200391,2015,41,6,2,2,4,2,85,1,3032,0,22500,0,1361,1361,100,6156,0,0,A0402,A1904,1428.047967
24501241,2015,57,4,2,,2,1,76,3,2030,2000,0,6000,0,0,0,0,3600,0,A0402,A1903,1243.394618
24501251,2015,46,4,3,9,1,1,13,4,10,0,0,0,0,0,0,500,0,0,A0402,A1901,1052.110204
24501261,2015,52,4,2,3,4,3,52,1,3865,0,8000,0,1100,1100,0,5440,0,0,A0402,A1904,1523.563299
24501271,2015,50,4,2,8,4,2,85,1,12805,0,16000,15000,0,0,1640,10800,0,0,A0402,A1905,1804.451236
24501281,2015,72,4,3,,1,1,165,1,6300,0,14000,0,0,0,0,0,0,774,A0402,A1901,1052.110204
24501291,2015,66,4,2,8,2,1,195,1,10750,0,20000,0,0,0,0,0,1600,454,A0402,A1902,1243.394618
24503311,2015,50,3,4,5,1,2,33,2,200,500,0,0,0,0,0,1140,0,315,A0402,A1901,945.6205236
25200301,2015,55,5,2,1,6,1,267,1,18324,0,60000,25000,0,0,2700,8590,0,1963,A0402,A1905,1037.413933
25200361,2015,60,2,1,9,1,1,23,3,4,30,0,0,0,0,0,600,0,0,A0402,A1901,1654.588638
25200371,2015,65,1,3,4,3,1,50,3,6221,100,0,0,0,0,100,5100,720,310,A0402,A1904,1340.27554
25200381,2015,32,3,1,4,1,3,43,3,350,300,0,0,0,0,0,500,0,0,A0402,A1901,1262.575865
25501201,2015,52,6,2,2,3,2,165,1,16984,0,70000,100000,30000,0,11000,0,10800,0,A0402,A1905,1213.736157
25501231,2015,60,4,3,,1,1,165,1,300,0,40000,0,0,0,0,0,0,1200,A0402,A1901,1052.110204
25501241,2015,68,1,2,9,2,2,50,1,20,0,14000,1000,0,0,300,200,0,832,A0402,A1901,1472.629795
25501251,2015,67,6,2,2,3,2,85,1,3480,0,29000,25000,0,0,0,0,6500,0,A0402,A1904,1661.003738
26200301,2015,52,6,2,3,3,2,109,1,11995,0,18000,83700,16740,6740,9000,12300,0,0,A0402,A1905,757.5555494
26501291,2015,63,6,2,,2,2,117,1,34300,0,50000,28000,0,0,0,0,0,7200,A0402,A1905,1472.629795
26503331,2015,31,6,1,A,1,2,50,2,4200,100,0,0,0,0,0,3000,0,0,A0402,A1902,889.6034006
26503351,2015,36,7,2,2,3,3,43,3,5067,500,0,0,0,0,0,3200,0,180,A0402,A1903,1291.628026
26503361,2015,41,5,2,5,4,3,106,1,11550,0,12000,13000,0,0,0,1500,6000,0,A0402,A1905,1403.175445
27501201,2015,45,6,2,1,4,2,117,1,4950,0,52000,35000,16000,16000,0,13500,0,0,A0402,A1905,1804.451236
27501231,2015,67,4,3,,3,2,26,3,505,200,0,0,0,0,0,0,0,1199,A0402,A1901,1661.003738
27503341,2015,39,7,2,2,4,2,85,1,2215,0,17000,0,7000,7000,0,4700,2000,0,A0402,A1904,1369.355394
27503351,2015,58,4,2,6,2,1,132,1,11580,0,27000,15000,0,0,0,0,3000,1200,A0402,A1903,1145.144821
27503361,2015,55,4,2,8,3,1,168,1,17610,0,30000,9000,0,0,0,1800,3600,0,A0402,A1904,1085.199479
27503371,2015,62,2,2,,2,1,83,1,17620,0,16000,0,0,0,0,0,0,2400,A0402,A1902,962.1273895
27503381,2015,58,2,4,4,5,2,59,1,15,0,9000,0,960,960,0,960,0,0,A0402,A1901,1537.534389
27503391,2015,51,4,3,5,3,2,59,1,14820,0,12000,38000,7000,7000,2900,0,2900,1440,A0402,A1903,1260.496344
29200381,2015,73,1,3,9,1,1,83,1,164,0,2500,0,0,0,0,360,0,419,A0402,A1901,1080.792896
29200391,2015,77,2,3,9,1,1,116,1,180,0,2300,0,0,0,0,360,50,229,A0402,A1901,1080.792896
30200371,2015,51,6,2,3,4,3,115,2,7654,7000,0,0,0,0,0,5300,0,0,A0402,A1904,1900.115697
30201211,2015,26,5,1,3,2,2,26,2,111,200,0,0,0,0,1000,360,0,432,A0401,A1901,1469.264459
30201221,2015,81,3,2,,2,2,26,3,18,200,0,0,0,0,0,0,0,922,A0401,A1901,1252.071662
30201231,2015,51,5,2,8,4,2,50,1,3994,0,11000,0,2500,2500,500,8178,0,0,A0401,A1905,2179.968078
30201241,2015,44,4,4,4,4,3,36,3,2585,2000,0,0,0,0,2867,1687,0,1000,A0401,A1902,1482.740812
30201271,2015,28,4,1,3,3,3,50,2,3870,4500,0,0,0,0,0,4060,0,0,A0401,A1903,2466.058924
30201281,2015,34,6,2,2,3,2,52,1,11525,0,16000,0,8500,8500,0,4800,0,235,A0401,A1904,2074.710652
30201291,2015,44,4,1,4,3,3,59,1,5030,0,6000,0,0,0,0,0,600,286,A0401,A1901,2045.314529
30502201,2015,32,4,1,7,1,1,21,3,1010,200,0,0,0,0,0,2610,0,0,A0401,A1902,1182.516549
30502211,2015,52,6,2,3,4,1,326,1,3691,0,52000,0,17000,17000,150,6000,0,0,A0401,A1905,1712.404916
