가구번호,조사년도,가구주 만나이,가구주 교육정도_학교,가구주 혼인상태,가구주 직업,가구원수,현재 살고 있는 주택의 종류,전용면적,현재 살고 있는 주택의 입주형태,     저축액,    현거주지 전월세보증금,      거주주택,      거주주택이외 부동산,      부동산 담보대출,         거주주택 담보대출,    신용대출,  근로소득,  사업소득,  이전소득,수도권여부,소득5분위,가중치
318202381,2015,80,4,4,,1,2,41,5,360,0,0,0,0,0,0,0,0,503,A0401,A1901,2655.860961
330200321,2015,34,7,2,2,4,3,43,5,7321,0,0,0,0,0,0,2320,0,0,A0401,A1902,1753.620495
335201211,2015,85,2,2,,2,2,85,5,510,0,0,0,0,0,0,0,0,1078,A0401,A1901,1252.071662
335501261,2015,33,6,2,2,4,2,105,5,2492,0,0,0,0,0,0,5000,0,0,A0401,A1904,2100.931064
342200341,2015,45,6,1,9,1,3,79,5,8025,0,0,0,0,0,0,1500,0,0,A0401,A1901,1642.654796
410300321,2015,61,3,4,9,1,3,56,5,2030,0,0,0,0,0,0,1200,0,600,A0401,A1902,1750.612525
413203191,2015,50,4,2,9,4,1,59,5,4538,0,0,0,0,0,0,162,4800,0,A0401,A1904,2967.250803
413500101,2015,34,4,1,3,1,3,42,5,510,0,0,0,0,0,260,2300,0,0,A0401,A1902,2190.053225
414503351,2015,45,6,2,2,5,2,142,5,320,0,0,0,0,0,1500,0,4200,0,A0401,A1903,1312.369039
416503301,2015,30,6,1,2,1,3,33,5,460,0,0,0,0,0,0,1900,0,0,A0401,A1902,2929.669653
417200301,2015,47,7,2,2,6,2,145,5,2373,0,0,0,0,0,3500,5160,0,0,A0401,A1904,1225.393624
417500171,2015,83,2,3,,1,2,114,5,20400,0,0,50000,0,0,0,0,0,0,A0401,A1903,2090.076762
430201221,2015,57,2,1,,1,2,50,5,20,0,0,0,0,0,0,0,0,835,A0401,A1901,1567.692873
511500161,2015,44,4,4,7,1,1,26,5,1050,0,0,0,0,0,0,0,3000,0,A0401,A1902,2190.053225
512200191,2015,35,6,2,2,4,1,53,5,6168,0,0,11000,1333,0,0,7500,0,0,A0401,A1905,2932.263506
512202391,2015,52,4,1,,1,2,133,5,300,0,0,0,0,0,0,0,0,0,A0401,A1901,1225.393624
513202151,2015,68,4,2,9,3,1,33,5,60,0,0,0,0,0,0,3600,0,0,A0401,A1903,2753.371226
513202301,2015,51,6,2,2,4,2,115,5,90,0,0,0,0,0,0,5000,1200,0,A0401,A1904,2861.856763
514200351,2015,80,4,2,,2,1,49,5,46,0,0,0,0,0,0,0,0,694,A0401,A1901,2922.521805
514202311,2015,73,4,2,,2,2,51,5,2270,0,0,0,0,0,0,0,0,1476,A0401,A1901,2392.136302
515503341,2015,76,4,3,6,1,1,100,5,620,0,0,19000,0,0,0,0,500,174,A0401,A1901,2274.876672
516203171,2015,31,6,1,2,3,2,109,5,6460,0,0,25000,0,0,0,14000,0,0,A0401,A1905,3250.261015
516203361,2015,56,3,2,6,3,1,165,5,1150,0,0,13000,0,0,0,4700,3500,0,A0401,A1905,4412.525043
516500111,2015,28,7,1,3,3,2,149,5,12783,0,0,0,0,0,0,5260,0,0,A0401,A1904,841.4832622
517202131,2015,37,6,2,3,4,3,59,5,3115,0,0,0,0,0,600,2400,4500,0,A0401,A1904,2721.781721
519200181,2015,20,5,1,,1,1,29,5,8,0,0,0,0,0,0,0,0,552,A0401,A1901,2825.284487
